Invoice,StockCode,Quantity,InvoiceDate,Price,Customer ID,Country,Description
489434,85048,12,2009-12-01 07:45:00,6.95,13085.0,United Kingdom,BOLA DE CRISTAL DE NAVIDAD DE 15CM 20 LUCES
489434,79323P,12,2009-12-01 07:45:00,6.75,13085.0,United Kingdom,LUCES DE CEREZA ROSA
489434,79323W,12,2009-12-01 07:45:00,6.75,13085.0,United Kingdom,LUCES DE CEREZA BLANCA
489434,22041,48,2009-12-01 07:45:00,2.1,13085.0,United Kingdom,"MARCO DE GRABACIÓN DE 7"" TAMAÑO INDIVIDUAL"
489434,21232,24,2009-12-01 07:45:00,1.25,13085.0,United Kingdom,CAJA DE BARATIJAS DE CERÁMICA DE FRESA
489434,22064,24,2009-12-01 07:45:00,1.65,13085.0,United Kingdom,OLLA DE BARATIJAS DE ROSQUILLA ROSA
489434,21871,24,2009-12-01 07:45:00,1.25,13085.0,United Kingdom,TAZA SALVAR EL PLANETA
489434,21523,10,2009-12-01 07:45:00,5.95,13085.0,United Kingdom,FELPUDO DE LUJO PARA EL HOGAR DULCE HOGAR
489435,22350,12,2009-12-01 07:46:00,2.55,13085.0,United Kingdom,CUENCO GATO
489435,22349,12,2009-12-01 07:46:00,3.75,13085.0,United Kingdom,"CUENCO PARA PERROS, DISEÑO DE LA BOLA DE PERSECUCIÓN"
