antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
SOPORTE DE PASTELES REGENCY 3 NIVELES,6 CINTAS ENCANTO RÚSTICO,0.09546771875989382,0.042643871313411755,0.01091059642970215,0.11428571428571428,2.6800032634412987,0.006839483316320253,1.0808859517429223
6 CINTAS ENCANTO RÚSTICO,SOPORTE DE PASTELES REGENCY 3 NIVELES,0.042643871313411755,0.09546771875989382,0.01091059642970215,0.25585379782981155,2.6800032634412987,0.006839483316320253,1.2155303334239647
SOPORTE T-LIGHT DE CORAZÓN COLGANTE BLANCO,6 CINTAS ENCANTO RÚSTICO,0.13297289398699497,0.042643871313411755,0.012079588904313095,0.09084249084249084,2.130259004273853,0.006409109924959739,1.0530145976286809
6 CINTAS ENCANTO RÚSTICO,SOPORTE T-LIGHT DE CORAZÓN COLGANTE BLANCO,0.042643871313411755,0.13297289398699497,0.012079588904313095,0.2832667047401485,2.130259004273853,0.006409109924959739,1.2096927989073878
60 CAJAS DE TARTAS VINTAGE NAVIDAD,KIT DE CADENA DE PAPEL NAVIDAD AÑOS 50,0.025303816273349405,0.049146391953435134,0.010009498063856214,0.3955726660250241,8.048864836300057,0.008765906791368475,1.57314792796239
KIT DE CADENA DE PAPEL NAVIDAD AÑOS 50,60 CAJAS DE TARTAS VINTAGE NAVIDAD,0.049146391953435134,0.025303816273349405,0.010009498063856214,0.20366699702675917,8.048864836300057,0.008765906791368475,1.22398064639725
KIT DE CADENA DE PAPEL NAVIDAD VINTAGE,60 CAJAS DE TARTAS VINTAGE NAVIDAD,0.03475317210978788,0.025303816273349405,0.010618348311049415,0.3055360896986685,12.074703926002915,0.009738960429067252,1.4035231626417057
60 CAJAS DE TARTAS VINTAGE NAVIDAD,KIT DE CADENA DE PAPEL NAVIDAD VINTAGE,0.025303816273349405,0.03475317210978788,0.010618348311049415,0.41963426371511076,12.074703926002917,0.009738960429067252,1.6631699074260868
60 CAJAS DE TARTAS VINTAGE NAVIDAD,SET DE 20 SERVILLETAS NAVIDEÑAS VINTAGE,0.025303816273349405,0.026448454738072624,0.011665570736221719,0.4610202117420597,17.43089402793804,0.010996323896815532,1.8062858134413258
SET DE 20 SERVILLETAS NAVIDEÑAS VINTAGE,60 CAJAS DE TARTAS VINTAGE NAVIDAD,0.026448454738072624,0.025303816273349405,0.011665570736221719,0.44106813996316757,17.43089402793804,0.010996323896815532,1.743855116189691
